task,asset,category,timeframe,horizon_bars,variant,split,status,reason,return_pct,sharpe,sortino,max_drawdown_pct,profit_factor,expectancy_pct,win_rate_pct,average_win_pct,average_loss_pct,trades,coverage_pct,turnover,fees_pct,funding_pct,directional_accuracy_pct,mae_pct,range_coverage_pct,chronos_load_seconds,chronos_mean_inference_seconds,chronos_forecasts,mc_status,mc_runs,mc_median_return_pct,mc_return_p05_pct,mc_return_p95_pct,mc_median_max_drawdown_pct,mc_max_drawdown_p95_pct,mc_probability_negative_pct,mc_worst_drawdown_pct
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_ONLY,WF1,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-56.33383656571168,-0.5935078593627177,-0.4647124080513438,-74.91456470094579,0.9172022841769564,-0.1418234390172146,28.62903225806452,5.487671627100896,-2.3999824768386047,248.0,34.19938193888063,495.0,27.225000000000005,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_ONLY,WF2,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-45.45327910003613,-0.7967704619847219,-0.6432758321767907,-66.94914372238313,0.8974201307841796,-0.1277753836551951,23.93162393162393,4.670987341490855,-1.6374984881955257,234.0,33.04716117216117,471.0,25.905,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_ONLY,WF3,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-6.46190669702148,0.2457399167161534,0.2156563886445248,-51.67882321405764,1.0862336450491628,0.1131768520563447,34.49612403100775,4.132699389796952,-2.003613123440188,258.0,36.22874101130008,516.0,28.38,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_ONLY,FINAL_HOLDOUT,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-41.53198966669616,-0.2714129783198746,-0.2456149885634338,-62.76911828320784,1.0133527632534445,0.0146605371009697,34.23799582463465,3.2496085881485457,-1.669566384714276,479.0,36.86895455147741,957.0,52.635,0.0,,,,,,,TESTED,5000.0,-61.34807155498231,-90.64670970499049,74.31105058601064,78.19905337819901,93.1532064667088,85.34,98.66190329565214
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_CHRONOS,WF1,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-55.69861168103494,-1.373540075930625,-0.6040505058644068,-56.6958233955982,0.6098496367982035,-0.8779323601042648,23.37662337662337,5.870431586695395,-2.9367552591278905,77.0,11.788943573308917,154.0,8.469999999999999,0.0,48.29210836277974,1.107949920902263,80.91872791519434,4.506036499999027,0.0242083144876275,849.0,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_CHRONOS,WF2,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-40.75205134896757,-1.4282072717955905,-0.5798422950134579,-52.12573999943893,0.5572726347197884,-0.6359795067122034,18.571428571428573,4.310514989048694,-1.764127374166443,70.0,9.306318681318682,140.0,7.726371160181508,0.0,48.29210836277974,1.107949920902263,80.91872791519434,4.506036499999027,0.0242083144876275,849.0,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_CHRONOS,WF3,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,27.89379578617241,0.7587348488266074,0.4800602900192233,-27.065339171753244,1.2844068360041838,0.3573799590216205,35.2,4.585113690113384,-1.9391667591023003,125.0,17.555073621732678,250.0,13.765938330298654,0.0,48.29210836277974,1.107949920902263,80.91872791519434,4.506036499999027,0.0242083144876275,849.0,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_CHRONOS,FINAL_HOLDOUT,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-49.34018200706289,-0.9622370886386185,-0.5468146392555465,-67.85368160392966,0.8156314062182485,-0.2149703105823942,30.412371134020617,3.127052690159732,-1.6755581405363602,194.0,15.118590168278786,388.0,21.738897689649423,0.0,48.29210836277974,1.107949920902263,80.91872791519434,4.506036499999027,0.0242083144876275,849.0,TESTED,5000.0,-31.06707914881921,-70.83465044732313,76.45121438434758,53.89169591131531,76.37982090665508,74.82,91.88953186694977
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN,WF1,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-56.33383656571168,-0.5935078593627177,-0.4647124080513438,-74.91456470094579,0.9172022841769564,-0.1418234390172146,28.62903225806452,5.487671627100896,-2.3999824768386047,248.0,34.19938193888063,495.0,27.225000000000005,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN,WF2,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-45.45327910003613,-0.7967704619847219,-0.6432758321767907,-66.94914372238313,0.8974201307841796,-0.1277753836551951,23.93162393162393,4.670987341490855,-1.6374984881955257,234.0,33.04716117216117,471.0,25.905,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN,WF3,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-6.46190669702148,0.2457399167161534,0.2156563886445248,-51.67882321405764,1.0862336450491628,0.1131768520563447,34.49612403100775,4.132699389796952,-2.003613123440188,258.0,36.22874101130008,516.0,28.38,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN,FINAL_HOLDOUT,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-41.53198966669616,-0.2714129783198746,-0.2456149885634338,-62.76911828320784,1.0133527632534445,0.0146605371009697,34.23799582463465,3.2496085881485457,-1.669566384714276,479.0,36.86895455147741,957.0,52.635,0.0,,,,,,,NOT_RUN_MODEL_UNAVAILABLE,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF1,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-56.33383656571168,-0.5935078593627177,-0.4647124080513438,-74.91456470094579,0.9172022841769564,-0.1418234390172146,28.62903225806452,5.487671627100896,-2.3999824768386047,248.0,34.19938193888063,495.0,27.225000000000005,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF2,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-45.45327910003613,-0.7967704619847219,-0.6432758321767907,-66.94914372238313,0.8974201307841796,-0.1277753836551951,23.93162393162393,4.670987341490855,-1.6374984881955257,234.0,33.04716117216117,471.0,25.905,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF3,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-6.46190669702148,0.2457399167161534,0.2156563886445248,-51.67882321405764,1.0862336450491628,0.1131768520563447,34.49612403100775,4.132699389796952,-2.003613123440188,258.0,36.22874101130008,516.0,28.38,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,FINAL_HOLDOUT,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-41.53198966669616,-0.2714129783198746,-0.2456149885634338,-62.76911828320784,1.0133527632534445,0.0146605371009697,34.23799582463465,3.2496085881485457,-1.669566384714276,479.0,36.86895455147741,957.0,52.635,0.0,,,,,,,NOT_RUN_MODEL_UNAVAILABLE,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,WF1,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-72.77043531775371,-0.6093364299854311,-0.5116248363371828,-83.76291005481814,0.8969487242648527,-0.2283401109208618,32.69230769230769,6.079262184457892,-3.292032654390541,260.0,37.39269772233032,519.0,28.545000000000005,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,WF2,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-64.68716646732726,-1.414877790611478,-1.2542968790379638,-72.23536351706808,0.7814003961282495,-0.2917604182880637,29.296875,3.55983059505751,-1.887723545364959,256.0,36.87042124542125,514.0,28.777915348107687,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,WF3,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-0.1404295024932222,0.4071630178170061,0.3641777218583056,-61.04544080559688,1.109529834243831,0.1791868451572601,33.59683794466403,5.402742544244403,-2.463683597833259,253.0,36.93642278278735,508.0,27.954007229890887,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,FINAL_HOLDOUT,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,55.88785954769595,0.7257612410196809,0.6746930038487093,-60.37371924456555,1.2059694611393432,0.357586643143954,33.33333333333333,6.281104523323454,-2.604172296945796,441.0,35.212667285013914,881.0,48.65449564984442,0.0,,,,,,,TESTED,5000.0,-53.83788316851368,-92.29306394900397,192.01827628769692,80.12547009820267,95.24843480976918,74.92,98.97746927672618
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_CHRONOS,WF1,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-61.46886357463404,-1.122047087427456,-0.5373559306616419,-73.02899142140349,0.6723766420013608,-0.8440254469991302,31.818181818181817,5.443997811668875,-3.778436301044199,88.0,13.44855213459998,176.0,9.68,0.0,50.47619047619048,1.3778403412961018,80.47619047619048,2.299999323440716e-06,0.0245452850000089,840.0,,,,,,,,,
