symbol,base_candidate_id,policy_id,classification,parameter_stability,validation_sharpe,validation_return_pct,oos_sharpe,oos_return_pct,oos_max_drawdown_pct,walk_forward_median_sharpe,stress_median_sharpe,stress_profitable_pct,partial_event_rate_pct,robust_advantage,trades
BTC/USDT,breakout_atr_60_1.0,runner_25_25_50,NOT ROBUST,0.0,-0.47122569666108594,-9.286084335073742,0.2505082560859097,5.285460610704362,-15.118807331930029,0.5731423979079767,0.4461295804122354,65.5,66.40826873385012,False,126
BTC/USDT,breakout_atr_60_1.0,runner_33_33_34,NOT ROBUST,0.0,-0.6160193696968398,-10.501943290048732,0.2895100705013112,6.005571751451866,-13.691694804416333,0.5973035716184517,0.5103689431660576,69.5,66.40826873385012,False,126
BTC/USDT,breakout_atr_60_1.0,runner_50_50,NOT ROBUST,0.0,-0.4212840416511428,-8.429004048720968,0.30327826327803387,6.8258165517901315,-13.699454013274593,0.5627947840786484,0.5616732331286973,66.5,59.17312661498708,False,126
BTC/USDT,breakout_atr_60_1.0,runner_20_30_50,NOT ROBUST,0.0,-0.4451214560274435,-8.978687890734193,0.2765139136217981,6.118658498245733,-14.85016416992514,0.583149636920532,0.45882676736987826,65.5,66.40826873385012,False,126
BTC/USDT,breakout_atr_60_1.0,partial_breakeven,POTENTIALLY ROBUST,0.0,-0.17906356604759935,-4.128738909211782,0.1619670781049169,2.5841335864084547,-16.131544325196646,0.6339947136617028,0.459795255427786,68.5,66.40826873385012,False,126
BTC/USDT,breakout_atr_60_1.0,partial_atr_trailing,NOT ROBUST,0.0,-0.5920966620145675,-10.863067221513557,0.37545661184606133,8.750809130489735,-15.577427938051347,0.7927909292908284,0.5480603759478478,74.0,66.40826873385012,False,126
BTC/USDT,breakout_atr_60_1.0,partial_chandelier,NOT ROBUST,0.0,-0.45073401153482173,-8.705109370782782,0.15476059226427674,2.44029535155319,-16.513160814070492,0.6409738924933122,0.48523282209809404,60.5,63.503649635036496,False,135
BTC/USDT,breakout_atr_60_1.0,partial_donchian_runner,NOT ROBUST,0.0,-0.4415200471457074,-8.783877778759352,0.21714331996482303,4.295690282716702,-15.390316857052621,0.5533950177722455,0.4409083202590049,64.5,65.8974358974359,False,128
BTC/USDT,breakout_atr_60_1.0,partial_ema_runner,NOT ROBUST,0.0,-0.3545318457415095,-7.184359638981153,0.3146528380246445,7.006959743732222,-15.487668944789556,0.7687260726725077,0.5136233557546943,76.0,59.49074074074075,False,142
BTC/USDT,breakout_atr_60_1.0,atr_grid_0.5_1.0,NOT ROBUST,0.0,-0.8166858782317149,-13.833944616037797,-0.06314674281979613,-3.3103576916928446,-16.499113212008286,0.2734852635221613,0.23244188493588527,52.0,75.96899224806202,False,126
BTC/USDT,breakout_atr_60_1.0,atr_grid_1.0_2.0,NOT ROBUST,0.0,-0.47122569666108594,-9.286084335073742,0.2505082560859097,5.285460610704362,-15.118807331930029,0.5731423979079767,0.4461295804122354,65.5,66.40826873385012,False,126
BTC/USDT,breakout_atr_60_1.0,atr_grid_1.5_3.0,NOT ROBUST,0.0,-0.3995771192405177,-8.804517556067747,0.4237595560053279,11.238366944441736,-13.161070272750486,0.7359400193414354,0.6123718723059492,74.0,59.17312661498708,False,126
BTC/USDT,breakout_atr_60_1.0,atr_grid_2.0_4.0,NOT ROBUST,0.0,-0.36257875616742685,-8.6095988526801,0.3718103841070926,10.008942211386351,-16.526417236777903,0.7864992861939699,0.5852124813030681,73.0,50.90439276485789,False,126
BTC/USDT,breakout_atr_60_1.0,fixed_pct_0.005_0.010,NOT ROBUST,0.0,-0.8501313313031902,-14.391886268647857,-0.0364534088682804,-2.7031566696593123,-17.47592626230441,0.2536883315556559,0.11374164402490701,51.5,72.09302325581395,False,126
BTC/USDT,breakout_atr_60_1.0,fixed_pct_0.010_0.020,NOT ROBUST,0.0,-0.5095657536933723,-10.014956917736939,0.2907221294407421,6.574089227982505,-15.645234837423505,0.5970595348433354,0.42576023507206323,65.5,60.98191214470285,False,126
BTC/USDT,breakout_atr_60_1.0,vol_normalized_0.50_0.75,POTENTIALLY ROBUST,0.0,-0.1447493755348157,-5.796745111789692,0.15335037947336486,2.2888492172304264,-20.002889381199253,0.5081266891803099,0.37896463137917413,64.0,0.0,False,126
BTC/USDT,breakout_atr_60_1.0,vol_normalized_0.75_1.00,POTENTIALLY ROBUST,0.0,-0.1447493755348157,-5.796745111789692,0.15335037947336486,2.2888492172304264,-20.002889381199253,0.5081266891803099,0.37896463137917413,64.0,0.0,False,126
BTC/USDT,breakout_atr_60_1.0,atr_dynamic_0.50_1.00,NOT ROBUST,0.0,-0.577710509068649,-11.020006410217153,0.11642154206393954,1.37253388040397,-15.002918765715311,0.481027234925361,0.295966702955434,61.5,71.0594315245478,False,126
BTC/USDT,breakout_atr_60_1.0,atr_dynamic_0.75_1.00,NOT ROBUST,0.0,-0.5470597093966124,-10.979079614088661,0.16074905685628038,2.645958993151276,-13.405932567430344,0.4908656038979894,0.3296978819634296,62.0,64.59948320413437,False,126
ETH/USDT,breakout_atr_60_1.0,runner_25_25_50,POTENTIALLY ROBUST,1.0,1.0157094137026301,24.685656426592594,1.2622478482544022,60.50148699828624,-21.51273331381184,1.158741080901224,1.1930330446774238,100.0,71.84986595174263,False,108
ETH/USDT,breakout_atr_60_1.0,runner_33_33_34,NOT ROBUST,0.0,0.977681367673133,20.1948595463314,1.0704222379718091,42.239986207784995,-20.109288586474637,1.1474320480763716,1.0910093323642776,97.0,71.84986595174263,False,108
ETH/USDT,breakout_atr_60_1.0,runner_50_50,POTENTIALLY ROBUST,0.0,1.116453472455744,27.604205352751386,1.1622137181156669,54.13420091898375,-20.47076155284584,1.2030298477505734,1.2777016595404587,100.0,64.07506702412869,False,108
ETH/USDT,breakout_atr_60_1.0,runner_20_30_50,POTENTIALLY ROBUST,0.0,1.0165232859048576,25.056486661505815,1.2854981944250687,62.797623443598916,-21.542191038983592,1.1774182085124223,1.2040248327654735,100.0,71.84986595174263,False,108
ETH/USDT,breakout_atr_60_1.0,partial_breakeven,NOT ROBUST,0.0,1.2254488741693133,28.360939212617776,0.8680261106454087,32.28820656699531,-20.410567332189633,1.0976792495119279,0.9111284519494345,89.5,71.84986595174263,False,108
ETH/USDT,breakout_atr_60_1.0,partial_atr_trailing,NOT ROBUST,0.0,1.047089947360213,23.51041404492127,0.6798209419946741,24.990682587477806,-19.231636334833734,1.051107659577199,0.9458981579825166,93.5,71.84986595174263,False,108
ETH/USDT,breakout_atr_60_1.0,partial_chandelier,NOT ROBUST,0.0,0.7620126571257212,15.342761451451082,0.879028592137073,34.681733154292175,-19.179326050265765,0.9352769835922367,1.0035882554319486,93.5,68.52791878172589,False,114
